,added_time,published_time,modified_time,financial_instruments,url,url_hash,source,article_type,title,sentiment_score,technological_sentiment,ecosystem_sentiment,security_sentiment
34,2025-04-15 08:08:07,,2100-01-01 00:00:00,USDC,https://www.coindesk.com/markets/2025/04/14/circle-s-eurc-stablecoin-surges-43-to-record-supply-as-dollar-troubles-fuel-demand,1473505784,coindesk,market-impacting,Circle's Euro-Backed Stablecoin EURC Surges to Record Supply Amid US Trade Tensions,0.2,0.2,0.2,0.2
35,2025-04-15 08:08:07,,2100-01-01 00:00:00,USDT,https://www.coindesk.com/markets/2025/04/14/circle-s-eurc-stablecoin-surges-43-to-record-supply-as-dollar-troubles-fuel-demand,1473505784,coindesk,market-impacting,Circle's Euro-Backed Stablecoin EURC Surges to Record Supply Amid US Trade Tensions,-0.2,-0.2,-0.2,-0.2
36,2025-04-15 08:08:07,,2100-01-01 00:00:00,BTC,https://www.coindesk.com/markets/2025/04/14/circle-s-eurc-stablecoin-surges-43-to-record-supply-as-dollar-troubles-fuel-demand,1473505784,coindesk,market-impacting,Circle's Euro-Backed Stablecoin EURC Surges to Record Supply Amid US Trade Tensions,0.1,0.1,0.1,0.1
37,2025-04-15 08:08:36,,2100-01-01 00:00:00,ETH,https://u.today/mega-ethereum-whale-keeps-selling-another-20000-eth-dumped-on-kraken,1852796051,utoday,market-impacting,"Giant whale unloads 20,000 ETH as price drops 12.58%",-0.5,0.0,0.2,0.0
38,2025-04-15 08:09:07,2025-04-14T16:00:00+00:00,2100-01-01 00:00:00,FIL,https://beincrypto.com/altcoins-to-watch-in-the-third-week-of-april/,3213149540,bein,market-impacting,3 Altcoins to Watch in the Third Week of April,0.5,0.7,0.6,0.5
39,2025-04-15 08:09:07,2025-04-14T16:00:00+00:00,2100-01-01 00:00:00,EIGEN,https://beincrypto.com/altcoins-to-watch-in-the-third-week-of-april/,3213149540,bein,market-impacting,3 Altcoins to Watch in the Third Week of April,0.6,0.8,0.7,0.5
40,2025-04-15 08:09:07,2025-04-14T16:00:00+00:00,2100-01-01 00:00:00,TRUMP,https://beincrypto.com/altcoins-to-watch-in-the-third-week-of-april/,3213149540,bein,market-impacting,3 Altcoins to Watch in the Third Week of April,-0.4,0.2,0.1,0.2
41,2025-04-15 08:09:26,,2100-01-01 00:00:00,BTC,https://u.today/billionaire-ray-dalio-issues-ominous-warning-as-bitcoin-reclaims-85k,4255914979,utoday,market-impacting,"Ray Dalio Warns of 'Worse Than Recession' in US, Prefers Bitcoin Over Bonds",0.5,0.0,0.5,0.0
42,2025-04-15 08:09:47,2025-04-11T20:40:34+00:00,2100-01-01 00:00:00,BTC,https://decrypt.co/314552/sec-crypto-regulatory-sandbox,3548069918,decrypt,market-impacting,SEC Open to Establishing Regulatory Sandbox for Digital Assets,0.5,0.8,0.7,0.2
43,2025-04-15 08:10:55,,2100-01-01 00:00:00,XB,https://u.today/reviews/xbanking-makes-liquidity-management-in-defi-easier-than-ever-before-review,2236715685,utoday,factual,XBANKING offers one-stop liquidity aggregator for all things DeFi,0.8,0.9,0.8,0.7
44,2025-04-15 08:10:55,,2100-01-01 00:00:00,ETH,https://u.today/reviews/xbanking-makes-liquidity-management-in-defi-easier-than-ever-before-review,2236715685,utoday,factual,XBANKING offers one-stop liquidity aggregator for all things DeFi,0.2,0.5,0.3,0.2
45,2025-04-15 08:10:55,,2100-01-01 00:00:00,USDC,https://u.today/reviews/xbanking-makes-liquidity-management-in-defi-easier-than-ever-before-review,2236715685,utoday,factual,XBANKING offers one-stop liquidity aggregator for all things DeFi,0.2,0.5,0.3,0.2
46,2025-04-15 08:10:55,,2100-01-01 00:00:00,BNB,https://u.today/reviews/xbanking-makes-liquidity-management-in-defi-easier-than-ever-before-review,2236715685,utoday,factual,XBANKING offers one-stop liquidity aggregator for all things DeFi,0.2,0.5,0.3,0.2
47,2025-04-15 08:10:55,,2100-01-01 00:00:00,USDT,https://u.today/reviews/xbanking-makes-liquidity-management-in-defi-easier-than-ever-before-review,2236715685,utoday,factual,XBANKING offers one-stop liquidity aggregator for all things DeFi,0.2,0.5,0.3,0.2
48,2025-04-15 08:11:40,2025-03-03T00:00:00+00:00,2100-01-01 00:00:00,BTC,https://coinbureau.com/newsletters/trump-plan-for-markets/,2092796589,coinbureau,opinion-based,Crypto Market Forecast: Uncertainty Reigns as Trump's Policies Dominate,-0.5,0.0,0.2,0.0
49,2025-04-15 08:11:40,2025-03-03T00:00:00+00:00,2100-01-01 00:00:00,DOGE,https://coinbureau.com/newsletters/trump-plan-for-markets/,2092796589,coinbureau,opinion-based,Crypto Market Forecast: Uncertainty Reigns as Trump's Policies Dominate,0.2,0.0,0.0,0.0
50,2025-04-15 08:11:40,2025-03-03T00:00:00+00:00,2100-01-01 00:00:00,ETH,https://coinbureau.com/newsletters/trump-plan-for-markets/,2092796589,coinbureau,opinion-based,Crypto Market Forecast: Uncertainty Reigns as Trump's Policies Dominate,0.0,0.0,0.0,0.0
51,2025-04-15 08:11:40,2025-03-03T00:00:00+00:00,2100-01-01 00:00:00,IP,https://coinbureau.com/newsletters/trump-plan-for-markets/,2092796589,coinbureau,opinion-based,Crypto Market Forecast: Uncertainty Reigns as Trump's Policies Dominate,0.5,0.5,0.5,0.0
52,2025-04-15 08:11:40,2025-03-03T00:00:00+00:00,2100-01-01 00:00:00,KAITO,https://coinbureau.com/newsletters/trump-plan-for-markets/,2092796589,coinbureau,opinion-based,Crypto Market Forecast: Uncertainty Reigns as Trump's Policies Dominate,0.5,0.5,0.5,0.0
53,2025-04-15 08:11:40,2025-03-03T00:00:00+00:00,2100-01-01 00:00:00,BERA,https://coinbureau.com/newsletters/trump-plan-for-markets/,2092796589,coinbureau,opinion-based,Crypto Market Forecast: Uncertainty Reigns as Trump's Policies Dominate,0.5,0.5,0.5,0.0
54,2025-04-15 08:12:10,2025-04-14T20:00:00+00:00,2100-01-01 00:00:00,ADA,https://beincrypto.com/cardano-ada-builds-momentum-golden-cross/,4275082453,bein,market-impacting,Cardano (ADA) Price Analysis: ADA Gears Up for Next Major Move as ADX Crosses Crucial Threshold,0.6,0.2,0.4,0.0
55,2025-04-15 08:12:49,2025-04-14T14:20:20+00:00,2100-01-01 00:00:00,BTC,https://decrypt.co/314689/bitcoin-price-ray-dalio-worse-than-recession,1691491390,decrypt,market-impacting,Ray Dalio Warns of 'Something Worse Than a Recession' as Bitcoin Price Nudges Up,0.2,0.0,-0.2,0.0
56,2025-04-15 08:12:49,2025-04-14T14:20:20+00:00,2100-01-01 00:00:00,ETH,https://decrypt.co/314689/bitcoin-price-ray-dalio-worse-than-recession,1691491390,decrypt,market-impacting,Ray Dalio Warns of 'Something Worse Than a Recession' as Bitcoin Price Nudges Up,0.0,0.0,0.0,0.0
57,2025-04-15 08:13:33,2025-02-24T00:00:00+00:00,2100-01-01 00:00:00,BTC,https://coinbureau.com/newsletters/altcoin-dilution/,1887651759,coinbureau,market-impacting,Is Altseason Cancelled?,0.5,0.5,0.5,0.5
58,2025-04-15 08:13:33,2025-02-24T00:00:00+00:00,2100-01-01 00:00:00,ETH,https://coinbureau.com/newsletters/altcoin-dilution/,1887651759,coinbureau,market-impacting,Is Altseason Cancelled?,0.7,0.8,0.7,0.5
59,2025-04-15 08:13:33,2025-02-24T00:00:00+00:00,2100-01-01 00:00:00,XRP,https://coinbureau.com/newsletters/altcoin-dilution/,1887651759,coinbureau,market-impacting,Is Altseason Cancelled?,0.3,0.5,0.3,0.5
60,2025-04-15 08:13:33,2025-02-24T00:00:00+00:00,2100-01-01 00:00:00,LTC,https://coinbureau.com/newsletters/altcoin-dilution/,1887651759,coinbureau,market-impacting,Is Altseason Cancelled?,0.5,0.5,0.5,0.5
61,2025-04-15 08:13:33,2025-02-24T00:00:00+00:00,2100-01-01 00:00:00,SOL,https://coinbureau.com/newsletters/altcoin-dilution/,1887651759,coinbureau,market-impacting,Is Altseason Cancelled?,0.7,0.8,0.7,0.5
62,2025-04-15 08:13:33,2025-02-24T00:00:00+00:00,2100-01-01 00:00:00,SUI,https://coinbureau.com/newsletters/altcoin-dilution/,1887651759,coinbureau,market-impacting,Is Altseason Cancelled?,0.7,0.8,0.7,0.5
63,2025-04-15 08:13:33,2025-02-24T00:00:00+00:00,2100-01-01 00:00:00,APT,https://coinbureau.com/newsletters/altcoin-dilution/,1887651759,coinbureau,market-impacting,Is Altseason Cancelled?,0.7,0.8,0.7,0.5
64,2025-04-15 08:13:33,2025-02-24T00:00:00+00:00,2100-01-01 00:00:00,IP,https://coinbureau.com/newsletters/altcoin-dilution/,1887651759,coinbureau,market-impacting,Is Altseason Cancelled?,0.8,0.9,0.8,0.5
65,2025-04-15 08:14:29,,2100-01-01 00:00:00,BTC,https://u.today/breaking-strategy-announces-massive-bitcoin-purchase,2051321871,utoday,market-impacting,Strategy buys additional $285 million worth of Bitcoin,0.8,0.0,0.5,0.0
66,2025-04-15 08:14:55,2025-04-14T19:47:46+00:00,2100-01-01 00:00:00,XRP,https://beincrypto.com/swift-xrp-ripple-integration-rumors-explained/,2492367808,bein,market-impacting,SWIFT and XRP Ledger Partnership Rumors: Separating Fact from Fiction,0.5,0.8,0.7,0.5
67,2025-04-15 08:15:52,,2100-01-01 00:00:00,HOOD,https://www.coindesk.com/markets/2025/04/14/kraken-now-offers-u-s-stock-etf-trading-as-it-preps-for-possible-ipo,3632738624,coindesk,market-impacting,"Kraken Launches Commission-Free Stock Trading in US, Expanding Beyond Crypto",-0.2,0.0,0.0,0.0
68,2025-04-15 08:15:52,,2100-01-01 00:00:00,COIN,https://www.coindesk.com/markets/2025/04/14/kraken-now-offers-u-s-stock-etf-trading-as-it-preps-for-possible-ipo,3632738624,coindesk,market-impacting,"Kraken Launches Commission-Free Stock Trading in US, Expanding Beyond Crypto",0.2,0.0,0.0,0.0
69,2025-04-15 08:15:52,,2100-01-01 00:00:00,MARA,https://www.coindesk.com/markets/2025/04/14/kraken-now-offers-u-s-stock-etf-trading-as-it-preps-for-possible-ipo,3632738624,coindesk,market-impacting,"Kraken Launches Commission-Free Stock Trading in US, Expanding Beyond Crypto",0.2,0.0,0.0,0.0
70,2025-04-15 08:15:52,,2100-01-01 00:00:00,BTDR,https://www.coindesk.com/markets/2025/04/14/kraken-now-offers-u-s-stock-etf-trading-as-it-preps-for-possible-ipo,3632738624,coindesk,market-impacting,"Kraken Launches Commission-Free Stock Trading in US, Expanding Beyond Crypto",0.2,0.0,0.0,0.0
71,2025-04-15 08:16:21,2025-04-12T17:01:03+00:00,2100-01-01 00:00:00,BTC,https://decrypt.co/314480/philosopher-trump-musk-fabricated-ai,1867364702,decrypt,opinion-based,AI-Generated 'Philosopher' Jianwei Xun Exposed as Fake,0.0,0.5,0.0,0.0
72,2025-04-15 08:16:59,2025-04-14T14:30:00+00:00,2100-01-01 00:00:00,XCN,https://beincrypto.com/xcn-token-rally-shows-no-signs-of-slowing/,606777078,bein,market-impacting,XCN Price Analysis: Altcoin Soars 171% as Bullish Momentum Builds,0.8,0.0,0.5,0.0
73,2025-04-15 08:17:44,,2100-01-01 00:00:00,SHIB,https://u.today/shiba-inu-shib-drops-another-spot-in-crypto-top-100,63073338,utoday,market-impacting,Shiba Inu Loses Spot to Hedera in Crypto Top 20,-0.2,0.0,-0.2,0.0
74,2025-04-15 08:17:44,,2100-01-01 00:00:00,HBAR,https://u.today/shiba-inu-shib-drops-another-spot-in-crypto-top-100,63073338,utoday,market-impacting,Shiba Inu Loses Spot to Hedera in Crypto Top 20,0.4,0.0,0.4,0.0
75,2025-04-15 08:17:44,,2100-01-01 00:00:00,TON,https://u.today/shiba-inu-shib-drops-another-spot-in-crypto-top-100,63073338,utoday,market-impacting,Shiba Inu Loses Spot to Hedera in Crypto Top 20,-0.1,0.0,-0.1,0.0
76,2025-04-15 08:17:44,,2100-01-01 00:00:00,DOGE,https://u.today/shiba-inu-shib-drops-another-spot-in-crypto-top-100,63073338,utoday,market-impacting,Shiba Inu Loses Spot to Hedera in Crypto Top 20,0.0,0.0,0.0,0.0
77,2025-04-15 08:17:44,,2100-01-01 00:00:00,BONK,https://u.today/shiba-inu-shib-drops-another-spot-in-crypto-top-100,63073338,utoday,market-impacting,Shiba Inu Loses Spot to Hedera in Crypto Top 20,0.0,0.0,0.0,0.0
78,2025-04-15 08:18:03,2025-04-11T05:24:42+00:00,2100-01-01 00:00:00,BTC,https://decrypt.co/314475/grayscale-osprey-settle-two-year-tussle-bitcoin-etfs,3766652773,decrypt,factual,Grayscale and Osprey Reach Settlement in Bitcoin Trust Lawsuit,0.0,0.0,0.0,0.0
79,2025-04-15 08:18:29,2025-04-14T03:14:43+00:00,2100-01-01 00:00:00,OM,https://decrypt.co/314662/mantra-token-crashes-90-in-one-hour-team-blames-reckless-liquidations,435821128,decrypt,market-impacting,"Mantra Token Plummets Over 90% in an Hour, Wiping Out Billions in Market Value",-0.9,0.2,-0.8,-0.9
80,2025-04-15 08:18:55,2025-03-18T00:00:00+00:00,2100-01-01 00:00:00,BTC,https://coinbureau.com/newsletters/is-recession-coming/,2434309617,coinbureau,market-impacting,Crypto Market Forecast: Will the Fed's Dovishness and a Russia-Ukraine Ceasefire Boost the Markets?,0.5,0.5,0.8,0.5
81,2025-04-15 08:18:55,2025-03-18T00:00:00+00:00,2100-01-01 00:00:00,XRP,https://coinbureau.com/newsletters/is-recession-coming/,2434309617,coinbureau,market-impacting,Crypto Market Forecast: Will the Fed's Dovishness and a Russia-Ukraine Ceasefire Boost the Markets?,0.5,0.0,0.5,0.0
82,2025-04-15 08:18:55,2025-03-18T00:00:00+00:00,2100-01-01 00:00:00,SOL,https://coinbureau.com/newsletters/is-recession-coming/,2434309617,coinbureau,market-impacting,Crypto Market Forecast: Will the Fed's Dovishness and a Russia-Ukraine Ceasefire Boost the Markets?,0.5,0.5,0.5,0.0
83,2025-04-15 08:19:40,,2100-01-01 00:00:00,OM,https://u.today/binance-reveals-real-reason-for-mantras-failure-0,866507703,utoday,market-impacting,Binance Reveals Real Reason Behind Mantra (OM) Crash,-0.8,-0.5,-0.8,-0.5
84,2025-04-15 08:19:40,,2100-01-01 00:00:00,BTC,https://u.today/binance-reveals-real-reason-for-mantras-failure-0,866507703,utoday,market-impacting,Binance Reveals Real Reason Behind Mantra (OM) Crash,0.2,0.0,0.0,0.0
85,2025-04-15 08:19:40,,2100-01-01 00:00:00,ETH,https://u.today/binance-reveals-real-reason-for-mantras-failure-0,866507703,utoday,market-impacting,Binance Reveals Real Reason Behind Mantra (OM) Crash,-0.2,0.0,0.0,0.0
86,2025-04-15 08:20:15,,2100-01-01 00:00:00,ETH,https://u.today/ether-price-at-1600-again-what-changed-in-four-years,3881398955,utoday,market-impacting,Ether (ETH) price drops to 2021 levels Crypto developer activity at lowest since 2018,-0.8,-0.6,-0.7,-0.5
87,2025-04-15 08:20:15,,2100-01-01 00:00:00,BTC,https://u.today/ether-price-at-1600-again-what-changed-in-four-years,3881398955,utoday,market-impacting,Ether (ETH) price drops to 2021 levels Crypto developer activity at lowest since 2018,0.2,0.0,0.0,0.0
88,2025-04-15 08:20:46,2025-04-14T05:50:43+00:00,2100-01-01 00:00:00,BTC,https://decrypt.co/314675/japans-metaplanet-buys-another-26m-bitcoin-amid-tariff-market-uncertainty,1235251200,decrypt,market-impacting,Metaplanet Boosts Bitcoin Holdings Amid US Trade Tensions,0.5,0.0,0.5,0.0
89,2025-04-15 08:20:46,2025-04-14T05:50:43+00:00,2100-01-01 00:00:00,ETH,https://decrypt.co/314675/japans-metaplanet-buys-another-26m-bitcoin-amid-tariff-market-uncertainty,1235251200,decrypt,market-impacting,Metaplanet Boosts Bitcoin Holdings Amid US Trade Tensions,0.2,0.0,0.0,0.0
90,2025-04-15 08:21:08,,2100-01-01 00:00:00,ETH,https://u.today/vitalik-buterin-stuns-community-with-hot-take-on-privacy,1683903030,utoday,opinion-based,Vitalik Buterin Shares Views on Privacy and Its Impact on Users,0.5,0.8,0.7,0.9
91,2025-04-15 08:22:04,,2100-01-01 00:00:00,NVDA,https://www.coindesk.com/tech/2025/04/14/nvidia-moves-ai-supercomputer-production-to-u-s-opening-new-avenues-for-crypto-miners,3536775423,coindesk,market-impacting,Nvidia to Manufacture Next-Gen AI Chips and Supercomputers in the US,0.8,0.9,0.7,0.5
92,2025-04-15 08:22:34,,2100-01-01 00:00:00,XRP,https://www.coindesk.com/markets/2025/04/14/xrp-surges-13-7-as-rare-bullish-cross-signals-potential-rally,3275702962,coindesk,market-impacting,XRP Continues Upward Trajectory with Impressive Strength,0.8,0.6,0.8,0.2
93,2025-04-15 08:22:34,,2100-01-01 00:00:00,BTC,https://www.coindesk.com/markets/2025/04/14/xrp-surges-13-7-as-rare-bullish-cross-signals-potential-rally,3275702962,coindesk,market-impacting,XRP Continues Upward Trajectory with Impressive Strength,0.4,0.0,0.0,0.0
94,2025-04-15 08:23:43,,2100-01-01 00:00:00,BTC,https://u.today/guides/top-crypto-exchanges-2025-full-guide,2878870069,utoday,factual,Top crypto exchanges in 2025: What you should know,0.5,0.8,0.7,0.6
